fold,n_train,n_val,n_test,threshold,triple_auc,triple_f1_pos,triple_precision_pos,triple_recall_pos,baseline_auc,baseline_f1_pos,baseline_precision_pos,baseline_recall_pos
0,296712,98904,98904,0.4599999999999998,0.9982597826739014,0.984226618340859,0.9855237013908601,0.9829329450780555,0.7499292242983094,0.6665408313222149,1.0,0.49985844859661893
1,296712,98904,98904,0.4449999999999998,0.9985556186624788,0.9858726716257574,0.9881760188533583,0.9835800372077974,0.7497067863787107,0.6661451941361313,1.0,0.4994135727574213
2,296712,98904,98904,0.48499999999999976,0.9982940682963009,0.9858954845256215,0.9894496720844026,0.9823667394645312,0.7497977837094556,0.6663070740850616,1.0,0.49959556741891126
3,296712,98904,98904,0.5749999999999997,0.9982481533561894,0.9850888582325732,0.9882968330212489,0.9819016419962793,0.751112189597994,0.668640964893388,1.0,0.5022243791959881
4,296712,98904,98904,0.5049999999999998,0.99814378493735,0.9839787733938266,0.9855757526576321,0.9823869610935857,0.7494540160155302,0.6656953213534078,1.0,0.49890803203106043
