b1206,b2551,b4388,1
b0462,b2926,b3734,1
b1090,b2934,b4041,1
b1096,b1600,b4039,1
b0888,b1387,b3500,1
b0429,b2551,b2913,1
b0126,b0339,b0657,1
b0351,b0870,b0907,1
b0394,b1090,b4041,1
b0077,b0726,b3670,1
b1727,b1851,b3608,1
b1396,b2708,b3197,1
b0684,b1386,b2895,1
b1779,b3728,b3731,1
b1683,b1981,b2528,1
b0822,b2551,b4388,1
b2149,b3059,b4041,1
b0474,b2285,b4383,1
b0888,b3453,b3500,1
b0099,b1865,b2668,1
b2508,b2868,b3583,1
b1245,b2926,b3735,1
b0048,b1606,b3266,1
b0200,b1090,b4041,1
b1225,b2508,b2868,1
b1296,b2926,b3731,1
b0731,b0763,b2423,1
b1192,b2551,b2913,1
b0697,b2926,b3732,1
b1679,b2528,b3225,1
b0765,b2423,b2688,1
b0171,b0910,b1679,1
b1684,b2162,b2528,1
b2279,b2508,b2868,1
b0765,b2424,b4242,1
b0521,b0888,b3500,1
b0099,b1865,b2047,1
b0073,b1800,b3456,1
b0077,b0896,b3671,1
b1617,b2926,b3735,1
b0907,b2551,b2716,1
b0954,b1192,b3846,1
b0126,b0339,b1654,1
b1517,b2926,b3735,1
b1655,b2029,b3386,1
b0403,b0474,b4383,1
b0077,b2508,b2868,1
b1386,b2508,b2867,1
b0092,b0381,b3709,1
b0844,b2723,b3812,1
b0933,b2926,b3737,1
b0104,b0684,b2895,1
b2579,b2926,b3736,1
b0171,b0910,b4196,1
b0171,b0910,b1859,1
b0474,b1300,b4094,1
b0870,b0907,b2128,1
b0078,b3670,b3926,1
b1679,b2529,b3728,1
b1125,b1761,b3213,1
b1683,b2529,b4367,1
b0428,b2414,b2421,1
b0381,b1779,b3731,1
b1683,b1778,b2528,1
b1612,b2508,b2866,1
b3059,b3893,b4041,1
b1207,b1778,b4383,1
b0388,b0854,b3390,1
b0630,b2551,b4388,1
b0765,b2422,b3502,1
b1473,b1683,b2528,1
b0766,b2926,b3737,1
b0474,b1123,b1207,1
b1207,b2917,b4383,1
b1727,b3608,b3752,1
b1779,b3456,b3731,1
b0008,b0073,b1800,1
b2508,b2867,b3034,1
b2926,b3734,b4087,1
b1779,b2679,b3738,1
b0907,b1677,b2551,1
b0452,b0954,b2053,1
b0763,b1865,b2423,1
b0684,b2895,b4209,1
b1779,b3208,b3731,1
b0763,b2242,b2422,1
b0171,b0910,b1300,1
b0765,b2422,b2888,1
b0238,b2508,b3540,1
b0764,b1244,b2424,1
b2508,b2866,b4390,1
b0474,b1393,b4094,1
b1190,b1619,b4053,1
b0073,b1238,b1800,1
b2309,b3608,b3926,1
b1779,b2489,b3733,1
b1684,b2529,b3794,1
b2418,b2708,b3197,1
b0260,b1779,b3734,1
b0077,b1981,b3671,1
b0092,b0381,b2344,1
b1727,b3608,b4208,1
b0764,b2132,b2422,1
b1096,b4039,b4383,1
b0763,b1781,b2422,1
b1680,b2529,b4468,1
b1682,b2529,b3907,1
b2508,b2868,b4384,1
b0171,b0910,b4053,1
b0945,b1684,b2528,1
b0674,b3744,b4226,1
b0037,b0684,b2895,1
b1207,b2716,b4094,1
b0347,b2926,b3732,1
b0954,b1519,b3846,1
b0099,b0469,b1865,1
b0674,b2467,b3744,1
b1727,b2041,b3608,1
b1779,b2053,b3731,1
b1779,b3738,b4129,1
b0515,b2436,b3867,1
b2926,b3575,b3737,1
b0954,b2276,b3846,1
b1528,b2926,b3732,1
b0763,b2424,b3480,1
b2926,b2987,b3735,1
b0367,b1779,b3737,1
b1779,b2889,b3734,1
b0002,b3572,b3940,1
b0073,b0200,b1800,1
b2926,b3476,b3733,1
b0352,b0907,b2551,1
b0764,b2423,b3403,1
b0756,b1679,b2529,1
b0077,b1677,b3670,1
b1207,b3417,b4383,1
b0048,b1606,b2155,1
b0155,b1592,b1746,1
b2551,b3182,b4388,1
b1779,b3732,b3736,1
b0452,b0954,b4092,1
b1683,b2204,b2528,1
b0870,b0907,b1677,1
b2465,b2935,b2947,1
b0311,b0764,b2423,1
b0474,b1207,b2710,1
b1779,b3737,b3943,1
b1682,b2279,b2529,1
b2926,b3458,b3738,1
