t,n_essential_group,coverage(mean±sd),pos_coverage(mean±sd),neg_coverage(mean±sd),Accuracy(mean±sd)
0.1,0,0.607±0.042,0.000±0.000,0.919±0.047,0.675±0.044
0.1,>=1,0.310±0.026,0.913±0.048,0.000±0.000,0.442±0.042
0.2,0,0.550±0.069,0.000±0.000,0.832±0.096,0.690±0.048
0.2,>=1,0.278±0.037,0.818±0.099,0.000±0.000,0.435±0.047
0.3,0,0.482±0.102,0.000±0.000,0.728±0.149,0.709±0.057
0.3,>=1,0.241±0.053,0.711±0.154,0.000±0.000,0.425±0.056
0.4,0,0.389±0.144,0.000±0.000,0.587±0.217,0.743±0.074
0.4,>=1,0.188±0.077,0.556±0.226,0.000±0.000,0.397±0.083
