fold,t,n_essential,N_subset,coverage,pos_rate(y=1),Accuracy,F1_1,Precision_1,Recall_1,AUC
1,0.1,0,10698,0.5349,0.0,0.6773228640867451,0.0,0.0,0.0,
2,0.1,0,12655,0.63275,7.902015013828527e-05,0.7033583563808771,0.0,0.0,0.0,0.24450766556029713
3,0.1,0,12186,0.6093,0.0002461841457410143,0.6942392909896603,0.000536480686695279,0.00026845637583892615,0.3333333333333333,0.5577991189909437
4,0.1,0,12690,0.6345,0.0003940110323089047,0.5983451536643026,0.0011757789535567316,0.0005884660651235779,0.6,0.7223019314150572
5,0.1,0,12498,0.6249,8.001280204832773e-05,0.7007521203392543,0.0005344735435595938,0.0002673082063619353,1.0,0.7577818676482355
1,0.1,1,5542,0.2771,1.0,0.41808011548177554,0.5896424481486194,1.0,0.41808011548177554,
2,0.1,1,5580,0.279,1.0,0.4439068100358423,0.6148690579620206,1.0,0.4439068100358423,
3,0.1,1,4718,0.2359,1.0,0.3749470114455278,0.5453984892862649,1.0,0.3749470114455278,
4,0.1,1,5312,0.2656,1.0,0.4888930722891566,0.6567201921861171,1.0,0.4888930722891566,
5,0.1,1,5740,0.287,1.0,0.40871080139372823,0.5802621815483552,1.0,0.40871080139372823,
1,0.1,2,849,0.04245,1.0,0.5465253239104829,0.7067783701447068,1.0,0.5465253239104829,
2,0.1,2,846,0.0423,1.0,0.5839243498817966,0.737313432835821,1.0,0.5839243498817966,
3,0.1,2,604,0.0302,1.0,0.4966887417218543,0.663716814159292,1.0,0.4966887417218543,
4,0.1,2,743,0.03715,1.0,0.5706594885598923,0.726649528706084,1.0,0.5706594885598923,
5,0.1,2,857,0.04285,1.0,0.4749124854142357,0.6439873417721519,1.0,0.4749124854142357,
1,0.1,3,51,0.00255,1.0,0.6274509803921569,0.7710843373493976,1.0,0.6274509803921569,
2,0.1,3,36,0.0018,1.0,0.6944444444444444,0.819672131147541,1.0,0.6944444444444444,
3,0.1,3,29,0.00145,1.0,0.5172413793103449,0.6818181818181819,1.0,0.5172413793103449,
