fold,t,n_essential,N_subset,coverage,pos_rate(y=1),Accuracy,F1_1,Precision_1,Recall_1,AUC
4,0.1,3,30,0.0015,1.0,0.7666666666666667,0.8679245283018869,1.0,0.7666666666666667,
5,0.1,3,54,0.0027,1.0,0.7407407407407407,0.851063829787234,1.0,0.7407407407407407,
1,0.2,0,8825,0.44125,0.0,0.705042492917847,0.0,0.0,0.0,
2,0.2,0,12009,0.60045,8.327088017320343e-05,0.713881255724873,0.0,0.0,0.0,0.25766155896069287
3,0.2,0,10407,0.52035,0.00019217834150091285,0.7183626405304122,0.0,0.0,0.0,0.5370014416146084
4,0.2,0,11823,0.59115,0.000422904508162057,0.6035693140488878,0.001278499893458342,0.0006399317406143345,0.6,0.731274327297343
5,0.2,0,11934,0.5967,8.379420144126027e-05,0.707642031171443,0.0005729017473503294,0.00028653295128939826,1.0,0.7463336964719685
1,0.2,1,4531,0.22655,1.0,0.40498786139924964,0.5765001570845115,1.0,0.40498786139924964,
2,0.2,1,5297,0.26485,1.0,0.44213705871247877,0.6131692629925384,1.0,0.44213705871247877,
3,0.2,1,3944,0.1972,1.0,0.3597870182555781,0.5291814283050531,1.0,0.3597870182555781,
4,0.2,1,4894,0.2447,1.0,0.4861054352268083,0.6542004674824694,1.0,0.4861054352268083,
5,0.2,1,5425,0.27125,1.0,0.40442396313364054,0.5759285995537472,1.0,0.40442396313364054,
1,0.2,2,694,0.0347,1.0,0.5461095100864554,0.7064305684995341,1.0,0.5461095100864554,
2,0.2,2,805,0.04025,1.0,0.5850931677018634,0.7382445141065831,1.0,0.5850931677018634,
3,0.2,2,506,0.0253,1.0,0.48616600790513836,0.6542553191489362,1.0,0.48616600790513836,
4,0.2,2,683,0.03415,1.0,0.5812591508052709,0.7351851851851853,1.0,0.5812591508052709,
5,0.2,2,809,0.04045,1.0,0.46971569839307786,0.6391925988225399,1.0,0.46971569839307786,
1,0.2,3,42,0.0021,1.0,0.6428571428571429,0.782608695652174,1.0,0.6428571428571429,
2,0.2,3,34,0.0017,1.0,0.7058823529411765,0.8275862068965517,1.0,0.7058823529411765,
3,0.2,3,20,0.001,1.0,0.5,0.6666666666666666,1.0,0.5,
4,0.2,3,29,0.00145,1.0,0.7586206896551724,0.8627450980392156,1.0,0.7586206896551724,
5,0.2,3,50,0.0025,1.0,0.76,0.8636363636363636,1.0,0.76,
1,0.3,0,6696,0.3348,0.0,0.7467144563918757,0.0,0.0,0.0,
2,0.3,0,11196,0.5598,8.931761343336905e-05,0.7243658449446231,0.0,0.0,0.0,0.27637338097364894
3,0.3,0,8324,0.4162,0.0001201345506967804,0.7465160980297934,0.0,0.0,0.0,0.4608915054667788
4,0.3,0,10705,0.53525,0.00037365716954694067,0.6100887435777674,0.0014354066985645933,0.0007183908045977011,0.75,0.7661667133912718
5,0.3,0,11251,0.56255,8.888098835659053e-05,0.716291885165763,0.0006261740763932373,0.00031318509238960227,1.0,0.7309333333333333
1,0.3,1,3399,0.16995,1.0,0.3768755516328332,0.5474358974358975,1.0,0.3768755516328332,
2,0.3,1,4961,0.24805,1.0,0.4341866559161459,0.6054813773717499,1.0,0.4341866559161459,
3,0.3,1,3093,0.15465,1.0,0.33785968315551246,0.5050749154180764,1.0,0.33785968315551246,
4,0.3,1,4413,0.22065,1.0,0.4874235214140041,0.6553930530164533,1.0,0.4874235214140041,
5,0.3,1,5076,0.2538,1.0,0.40051221434200157,0.5719510479673654,1.0,0.40051221434200157,
1,0.3,2,518,0.0259,1.0,0.5521235521235521,0.7114427860696517,1.0,0.5521235521235521,
2,0.3,2,755,0.03775,1.0,0.5814569536423841,0.7353433835845896,1.0,0.5814569536423841,
3,0.3,2,392,0.0196,1.0,0.47959183673469385,0.6482758620689655,1.0,0.47959183673469385,
4,0.3,2,610,0.0305,1.0,0.5950819672131148,0.7461459403905447,1.0,0.5950819672131148,
5,0.3,2,743,0.03715,1.0,0.46837146702557203,0.6379468377635197,1.0,0.46837146702557203,
1,0.3,3,34,0.0017,1.0,0.6470588235294118,0.7857142857142858,1.0,0.6470588235294118,
2,0.3,3,31,0.00155,1.0,0.7741935483870968,0.8727272727272727,1.0,0.7741935483870968,
3,0.3,3,14,0.0007,1.0,0.6428571428571429,0.782608695652174,1.0,0.6428571428571429,
4,0.3,3,26,0.0013,1.0,0.7692307692307693,0.8695652173913044,1.0,0.7692307692307693,
5,0.3,3,45,0.00225,1.0,0.7333333333333333,0.846153846153846,1.0,0.7333333333333333,
1,0.4,0,3958,0.1979,0.0,0.8153107630116221,0.0,0.0,0.0,
2,0.4,0,10051,0.50255,9.949258780220874e-05,0.7431101382946971,0.0,0.0,0.0,0.307860696517413
3,0.4,0,5439,0.27195,0.00018385732671446958,0.7995955138812282,0.0,0.0,0.0,0.7054063994115484
4,0.4,0,9132,0.4566,0.000328515111695138,0.6274638633377135,0.00176056338028169,0.000881057268722467,1.0,0.8038485412787089
5,0.4,0,10274,0.5137,0.0,0.7306793848549737,0.0,0.0,0.0,
1,0.4,1,1825,0.09125,1.0,0.30356164383561646,0.4657419083648592,1.0,0.30356164383561646,
2,0.4,1,4417,0.22085,1.0,0.42676024450984834,0.5982227864170104,1.0,0.42676024450984834,
3,0.4,1,1902,0.0951,1.0,0.2807570977917981,0.438423645320197,1.0,0.2807570977917981,
4,0.4,1,3661,0.18305,1.0,0.4837476099426386,0.6520618556701031,1.0,0.4837476099426386,
5,0.4,1,4527,0.22635,1.0,0.39518444886238124,0.5664977834072197,1.0,0.39518444886238124,
1,0.4,2,278,0.0139,1.0,0.4892086330935252,0.6570048309178744,1.0,0.4892086330935252,
2,0.4,2,671,0.03355,1.0,0.5812220566318927,0.7351555136663525,1.0,0.5812220566318927,
3,0.4,2,228,0.0114,1.0,0.4342105263157895,0.6055045871559633,1.0,0.4342105263157895,
4,0.4,2,512,0.0256,1.0,0.603515625,0.7527405602923264,1.0,0.603515625,
5,0.4,2,672,0.0336,1.0,0.47767857142857145,0.6465256797583082,1.0,0.47767857142857145,
1,0.4,3,17,0.00085,1.0,0.6470588235294118,0.7857142857142858,1.0,0.6470588235294118,
2,0.4,3,28,0.0014,1.0,0.7857142857142857,0.88,1.0,0.7857142857142857,
3,0.4,3,9,0.00045,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,
4,0.4,3,24,0.0012,1.0,0.75,0.8571428571428571,1.0,0.75,
5,0.4,3,38,0.0019,1.0,0.7368421052631579,0.8484848484848484,1.0,0.7368421052631579,
