fold,n_train,n_val,n_test,threshold,triple_auc,triple_f1_pos,triple_precision_pos,triple_recall_pos,baseline_auc,baseline_f1_pos,baseline_precision_pos,baseline_recall_pos
0,148356,49452,49452,0.7699999999999997,0.99913579728592,0.993388163199484,0.9902740937223696,0.9965218798026368,0.5,0.0,0.0,0.0
1,148356,49452,49452,0.7499999999999997,0.9994529184895984,0.9935421375524702,0.9915411262386208,0.995551241608024,0.5,0.0,0.0,0.0
2,148356,49452,49452,0.9149999999999996,0.9994825222479302,0.9947107037590341,0.9930667526604321,0.9963601067702014,0.5,0.0,0.0,0.0
3,148356,49452,49452,0.7449999999999997,0.9995117694330082,0.9942679530133613,0.9923851732473812,0.9961578904796571,0.5,0.0,0.0,0.0
4,148356,49452,49452,0.7799999999999997,0.999509506501374,0.9934830417852027,0.9912630349881225,0.9957130146404595,0.5,0.0,0.0,0.0
