b0402,b2021,b4169,1
b2021,b3784,b4088,1
b0311,b3189,b4261,1
b0349,b0369,b0423,1
b1281,b1479,b2536,1
b0635,b2519,b2578,1
b0052,b0696,b2483,1
b0576,b3826,b4177,1
b0003,b0828,b2232,1
b0142,b2235,b2407,1
b0025,b3794,b4231,1
b0386,b2281,b3603,1
b0091,b2312,b4381,1
b0084,b1676,b2789,1
b2051,b2288,b3974,1
b1252,b2425,b4214,1
b1814,b2838,b2964,1
b2022,b2104,b2199,1
b1236,b2278,b2747,1
b0789,b2202,b3774,1
b0142,b2423,b2487,1
b1011,b2882,b3991,1
b0133,b2436,b2903,1
b0524,b0904,b2206,1
b0110,b2169,b2752,1
b0115,b1329,b2023,1
b0401,b1264,b2711,1
b0151,b0734,b3189,1
b1466,b2838,b3572,1
b0133,b0355,b3198,1
b0133,b0238,b0928,1
b0778,b0905,b2663,1
b2020,b3368,b4392,1
b1336,b3599,b3774,1
b1476,b1621,b3633,1
b2312,b2687,b4139,1
b3619,b3624,b4177,1
b0446,b1096,b2515,1
b0131,b0517,b1865,1
b3633,b4226,b4268,1
b0679,b2997,b3997,1
b0008,b2752,b3959,1
b0423,b3843,b4100,1
b1125,b2323,b4261,1
b0775,b2147,b2167,1
b0421,b1901,b3291,1
b0181,b1584,b3625,1
b0091,b0870,b2498,1
b2034,b2599,b3892,1
b0166,b0696,b2995,1
b3187,b4119,b4367,1
b1109,b2400,b3924,1
b1091,b3736,b3845,1
b2323,b3930,b4208,1
b0179,b0805,b2976,1
b0242,b2154,b2323,1
b0462,b0639,b1779,1
b0004,b1094,b1264,1
b2458,b2530,b3917,1
b0078,b1091,b3256,1
b1131,b2663,b3630,1
b0171,b0243,b0733,1
b2222,b3943,b3991,1
b1443,b2817,b3994,1
b0179,b0684,b2888,1
b0830,b2750,b4123,1
b1069,b1990,b2563,1
b1004,b2747,b4071,1
b0087,b0733,b1851,1
b1092,b3115,b4079,1
b0152,b1812,b2177,1
b0054,b0616,b2458,1
b0588,b0914,b1854,1
b2223,b3774,b3918,1
b0134,b2912,b3824,1
b1704,b2873,b4160,1
b1535,b1832,b3850,1
b0929,b2019,b2276,1
b0888,b3572,b4040,1
b2499,b2903,b3924,1
b0776,b2866,b3493,1
b0423,b1004,b2662,1
b2146,b3941,b4177,1
b2799,b3201,b3213,1
b0830,b0896,b3939,1
b0339,b0575,b2507,1
b0915,b1856,b2053,1
b0180,b0650,b1281,1
b1232,b1517,b3809,1
b0529,b1094,b4239,1
b1855,b2541,b3990,1
b0180,b1468,b4214,1
b0639,b0784,b4117,1
b3115,b3946,b4013,1
b0767,b1338,b2746,1
b0175,b0641,b3032,1
b0103,b2170,b2920,1
b0524,b1385,b3256,1
b0521,b2738,b3941,1
b0085,b0356,b4352,1
b0089,b0307,b3621,1
b1021,b1288,b4374,1
b0369,b2041,b3962,1
b1010,b3670,b4006,1
b0074,b1198,b1395,1
b0109,b0677,b2425,1
b0347,b0421,b2104,1
b3843,b4115,b4197,1
b0693,b3939,b4041,1
b3018,b3198,b3781,1
b2222,b3730,b3733,1
b2557,b4053,b4088,1
b0241,b0523,b0621,1
b1819,b2762,b3057,1
b0159,b2284,b3962,1
b0150,b3730,b4138,1
b0200,b2021,b3721,1
b0072,b2407,b3212,1
b2484,b2817,b3730,1
b0166,b1392,b2203,1
b2315,b2579,b3577,1
b0180,b1243,b3011,1
b1779,b1993,b3189,1
b2032,b3176,b4069,1
b0972,b2780,b3793,1
b3189,b3566,b3590,1
b1622,b2703,b3994,1
b0543,b3255,b3457,1
b0325,b3730,b3909,1
b0764,b2316,b2344,1
b0036,b0088,b0662,1
b0915,b2788,b2997,1
b1262,b2415,b3940,1
b0774,b3502,b4383,1
b1125,b2458,b3634,1
b0417,b1798,b3731,1
b0007,b2024,b3551,1
b0726,b2175,b2764,1
b2927,b3997,b4289,1
b0641,b2925,b3502,1
b0908,b1600,b2263,1
b3633,b3737,b3917,1
b0720,b2914,b3426,1
b0153,b2943,b4040,1
b3628,b3648,b4033,1
b0401,b2747,b3926,1
b0894,b2838,b2919,1
b3792,b3992,b4152,1
b0091,b0808,b3816,1
b0333,b1069,b3012,1
b0131,b2716,b4085,1
b0734,b2308,b2599,1
b3805,b4032,b4244,1
b2914,b3993,b4105,1
b1094,b3458,b3460,1
b1094,b2407,b3389,1
b2661,b3255,b4227,1
b1260,b1656,b1912,1
b1264,b1912,b4093,1
b0133,b0149,b1813,1
b0463,b1136,b2221,1
b0242,b1511,b4136,1
b1098,b2222,b2764,1
b0149,b2312,b2975,1
b0529,b3198,b3517,1
b0003,b0614,b2440,1
b3255,b4096,b4544,1
b0352,b1319,b3774,1
b1711,b3368,b4094,1
b1662,b2536,b2835,1
b1012,b3730,b3833,1
b1261,b3417,b3697,1
b0179,b1281,b2719,1
b1252,b1740,b2508,1
b0430,b1263,b2615,1
b0142,b0830,b1855,1
b0019,b0088,b2020,1
b0115,b3266,b3993,1
b3727,b3994,b4481,1
b0054,b0864,b4120,1
b0166,b0543,b2764,1
b2146,b2747,b3791,1
b0366,b0728,b3990,1
b0910,b1737,b2316,1
b0334,b1832,b2515,1
b0243,b0639,b3359,1
b0180,b0688,b3634,1
b1291,b2021,b3751,1
b0181,b1453,b4261,1
b0855,b2315,b3253,1
b1264,b3806,b4100,1
b0521,b3213,b3941,1
b0198,b2480,b4160,1
b0116,b1463,b2585,1
b0242,b1606,b2600,1
b2133,b2701,b3729,1
b1617,b2014,b3843,1
b0709,b1476,b2323,1
b0124,b0242,b4152,1
b0904,b1210,b4382,1
b1262,b1711,b2093,1
b0089,b0131,b2523,1
b0071,b3208,b4084,1
b1302,b1513,b3201,1
b0918,b1006,b3290,1
b0096,b1982,b2687,1
b3476,b3843,b4024,1
b0420,b1747,b2265,1
b2751,b2762,b2943,1
b0025,b2047,b3614,1
b2280,b2585,b3770,1
b0857,b1981,b3607,1
b0269,b2103,b2528,1
b1210,b2515,b3650,1
b2711,b3579,b3972,1
b0612,b2893,b3642,1
b0131,b0583,b2533,1
b0352,b2486,b3256,1
b3426,b3544,b3939,1
b2835,b3177,b4151,1
b0757,b0774,b1097,1
b1378,b3633,b4260,1
b0523,b2582,b3670,1
b1093,b1683,b4095,1
b0040,b4093,b4214,1
b2278,b2329,b4096,1
b0417,b2542,b3624,1
b0089,b2201,b2919,1
b0415,b0524,b4032,1
b1014,b3642,b3805,1
b1093,b2104,b3058,1
b2670,b2797,b4261,1
b1062,b2579,b3041,1
b0810,b1021,b1093,1
b0588,b3063,b4214,1
b0369,b0729,b2906,1
b1518,b1611,b3607,1
b0103,b0915,b4042,1
b3460,b3939,b4096,1
b1325,b2675,b3993,1
b1208,b2131,b3958,1
b0166,b1319,b2670,1
b0003,b0124,b4039,1
b2507,b3240,b4146,1
b2600,b3360,b3616,1
b0368,b2818,b3656,1
b2257,b2926,b3850,1
b0576,b1262,b3212,1
b1680,b3500,b3941,1
b0979,b2406,b3368,1
b1710,b2429,b3368,1
b2323,b2989,b4232,1
b2716,b2780,b2801,1
b0973,b2530,b2660,1
b2022,b3336,b4154,1
b1208,b2817,b3456,1
b2023,b3845,b4138,1
b0910,b0928,b3843,1
b1131,b1619,b2918,1
b0732,b3034,b3730,1
b0134,b1109,b2036,1
b0242,b3032,b3479,1
b0974,b2329,b2662,1
b0978,b3172,b4297,1
b0808,b2465,b3196,1
b2677,b2678,b2763,1
b2521,b2835,b2838,1
b0142,b0813,b1390,1
b0054,b1981,b2260,1
b0089,b0954,b1326,1
b1210,b2802,b3751,1
b0613,b1301,b3639,1
b0185,b1207,b2393,1
b2818,b3581,b4476,1
b3713,b3876,b3960,1
b0173,b2206,b3001,1
b0414,b0463,b4266,1
b1200,b2976,b3648,1
b0720,b0933,b3915,1
b2023,b2286,b4384,1
b1285,b3258,b3850,1
b2222,b2476,b3666,1
b0091,b0839,b3623,1
b0173,b2485,b3566,1
